,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2021-11-19,19.16331672668457,61.79999923706055,1137.06005859375,19.389999389648438,61.79999923706055,1137.06005859375,19.670000076293945,62.970001220703125,1138.719970703125,19.239999771118164,61.560001373291016,1092.699951171875,19.639999389648438,62.47999954223633,1098.8699951171875,64610400,19520600,21642300
2021-11-22,20.24057388305664,64.05999755859375,1156.8699951171875,20.479999542236328,64.05999755859375,1156.8699951171875,20.790000915527344,64.95999908447266,1201.949951171875,19.309999465942383,61.7599983215332,1132.4300537109375,19.389999389648438,61.95000076293945,1162.3299560546875,137861700,19836200,33072500
2021-11-23,19.963850021362305,63.04999923706055,1109.030029296875,20.200000762939453,63.04999923706055,1109.030029296875,20.530000686645508,64.04000091552734,1180.5,19.969999313354492,62.2599983215332,1062.699951171875,20.43000030517578,63.72999954223633,1167.510009765625,90984500,16225100,36171700
2021-11-24,20.013263702392578,62.189998626708984,1116.0,20.25,62.189998626708984,1116.0,20.34000015258789,62.599998474121094,1132.77001953125,19.780000686645508,61.630001068115234,1062.0,19.969999313354492,62.29999923706055,1080.3900146484375,77324300,12685000,22560200
2021-11-26,19.51910972595215,60.16999816894531,1081.9200439453125,19.75,60.16999816894531,1081.9200439453125,19.84000015258789,60.56999969482422,1108.780029296875,19.469999313354492,59.459999084472656,1081.0,19.65999984741211,59.79999923706055,1099.469970703125,49434000,13272600,11680900
2021-11-29,19.440044403076172,59.86000061035156,1136.989990234375,19.670000076293945,59.86000061035156,1136.989990234375,20.190000534057617,61.540000915527344,1142.6700439453125,19.489999771118164,59.650001525878906,1100.18994140625,20.06999969482422,61.11000061035156,1100.989990234375,68778700,15033100,19464500
2021-11-30,18.965656280517578,57.869998931884766,1144.760009765625,19.190000534057617,57.869998931884766,1144.760009765625,19.950000762939453,59.84000015258789,1168.0,19.030000686645508,57.439998626708984,1118.0,19.6200008392334,59.20000076293945,1144.3699951171875,103238400,21282200,27092000
2021-12-01,19.351097106933594,58.060001373291016,1095.0,19.579999923706055,58.060001373291016,1095.0,20.469999313354492,60.59000015258789,1172.8399658203125,19.530000686645508,58.0099983215332,1090.760009765625,19.6299991607666,59.25,1160.699951171875,125295600,26353700,22816800
2021-12-02,19.637706756591797,61.02000045776367,1084.5999755859375,19.8700008392334,61.02000045776367,1084.5999755859375,20.110000610351562,61.29999923706055,1113.0,19.280000686645508,58.70000076293945,1056.6500244140625,19.5,58.75,1099.06005859375,94142300,25365100,24371600
2021-12-03,18.916240692138672,59.709999084472656,1014.969970703125,19.139999389648438,59.709999084472656,1014.969970703125,20.399999618530273,61.689998626708984,1090.5799560546875,18.93000030517578,58.869998931884766,1000.2100219726562,20.3700008392334,61.2400016784668,1084.7900390625,120275200,19596100,30774000
